id,title,year,journal,theme,layer,setting,url,relevance,slug,tier,has_explainer
15,"Service availability and readiness to provide maternal and newborn healthcare services in Kilimanjaro region, Tanzania",2024,Open-access,MNH service readiness,quality-systems,"37 facilities, Kilimanjaro",https://pmc.ncbi.nlm.nih.gov/articles/PMC11628971/,8,service-availability-and-readiness-to-provide-maternal-and,,
16,Changes in Health Facility Readiness for Providing Quality Maternal and Newborn Care After Implementing the Safer Births Bundle of Care Package,2025,Healthcare,Facility readiness / quality improvement,quality-systems,"28 facilities, 5 regions",https://pmc.ncbi.nlm.nih.gov/articles/PMC12691856/,9,changes-in-health-facility-readiness-for-providing-quality,4,
17,"Maternal Mortality in Dodoma Regional Referral Hospital, Tanzania",2020,International Journal of Reproductive Medicine,Maternal mortality / delays / causes,maternal-mortality,Dodoma RRH,https://pmc.ncbi.nlm.nih.gov/articles/PMC7290896/,8,maternal-mortality-in-dodoma-regional-referral-hospital-tanzania,2,
18,Incidence and Predictors of Maternal and Perinatal Mortality among Women with Severe Maternal Outcomes: A Tanzanian Facility-Based Survey,2020,International Journal of Reproductive Medicine,Maternal near-miss / perinatal mortality,maternal-mortality,Dodoma RRH,https://pmc.ncbi.nlm.nih.gov/articles/PMC7171678/,9,incidence-and-predictors-of-maternal-and-perinatal-mortality,,
19,Improvement in the active management of the third stage of labor for the prevention of postpartum hemorrhage in Tanzania,2018,BMC Pregnancy and Childbirth,Postpartum haemorrhage / quality improvement,interventions,52 facilities,https://pmc.ncbi.nlm.nih.gov/articles/PMC5998542/,8,improvement-in-the-active-management-of-the-third,,
20,Delayed illness recognition and multiple referrals: a qualitative study exploring care-seeking trajectories contributing to maternal and newborn illnesses and death in southern Tanzania,2019,BMC Pregnancy and Childbirth,Maternal/newborn delays / referrals,quality-systems,Southern Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC6460539/,9,delayed-illness-recognition-and-multiple-referrals-a-qualitative,3,
21,Late initiation and low utilization of postnatal care services among women in the rural setting in Northwest Tanzania,2021,BMC Pregnancy and Childbirth,Postnatal care / utilization,quality-systems,Northwest Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC8252323/,8,late-initiation-and-low-utilization-of-postnatal-care,,
22,Beyond adequate: Factors associated with quality of antenatal care in western Tanzania,2021,BMC Pregnancy and Childbirth,Antenatal care quality,quality-systems,Western Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC8009327/,8,beyond-adequate-factors-associated-with-quality-of-antenatal,,
23,Why give birth in health facility? Users' and providers' accounts of poor quality of birth care in Tanzania,2013,BMC Health Services Research,Quality of childbirth care,quality-systems,Dodoma / Dar es Salaam,https://pmc.ncbi.nlm.nih.gov/articles/PMC3654954/,9,why-give-birth-in-health-facility-users-and,,
24,Effect of a maternal and newborn health system quality improvement project on the use of facilities for childbirth: a cluster-randomised study in rural Tanzania,2019,Tropical Medicine & International Health,Health-system quality improvement,interventions,Rural Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC6499631/,9,effect-of-a-maternal-and-newborn-health-system,4,
25,Evaluation of a comprehensive maternal newborn health intervention in rural Tanzania: single-arm pre-post coverage survey results,2022,BMC Pregnancy and Childbirth,Comprehensive MNH intervention,interventions,Rural Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC9665093/,9,evaluation-of-a-comprehensive-maternal-newborn-health-intervention,4,
26,"Birth companionship in a government health system: a pilot study in Kigoma, Tanzania",2021,BMC Pregnancy and Childbirth,Birth companionship / quality,interventions,Kigoma,https://pmc.ncbi.nlm.nih.gov/articles/PMC8052747/,7,birth-companionship-in-a-government-health-system-a,,
27,"Perceptions and Experiences of Health Care Workers on Accountability Mechanisms for Enhancing Quality Improvement in the Delivery of Maternal Newborns and Child Health Services in Mkuranga, Tanzania",2022,Open-access,MCH accountability / quality improvement,quality-systems,Mkuranga,https://pmc.ncbi.nlm.nih.gov/articles/PMC9279912/,7,perceptions-and-experiences-of-health-care-workers-on,,
28,"Assessment of maternal and perinatal death surveillance and response implementation in health facilities in Kigoma, Tanzania",2026,Open-access,MPDSR / health-system accountability,quality-systems,Kigoma,https://pmc.ncbi.nlm.nih.gov/articles/PMC13020112/,9,assessment-of-maternal-and-perinatal-death-surveillance-and,3,
29,‘I am happy to be listened to’: co-creation of a simple tool to measure women’s experiences of respectful maternity care in urban Tanzania,2024,BMC / Global Health,Respectful maternity care / measurement,quality-systems,Dar es Salaam,https://pmc.ncbi.nlm.nih.gov/articles/PMC11423523/,7,i-am-happy-to-be-listened-to-co,,
30,Intrapartum violence during facility-based childbirth and its determinants: a cross-sectional study among postnatal women in Tanzania,2023,BMC Pregnancy and Childbirth,Respectful maternity care / mistreatment,quality-systems,Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC10475265/,7,intrapartum-violence-during-facility-based-childbirth-and-its,,
31,Barriers and facilitators to humanizing birth care in Tanzania: findings from semi-structured interviews with midwives and obstetricians,2018,BMC Pregnancy and Childbirth,Respectful maternity care,quality-systems,Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC6092851/,7,barriers-and-facilitators-to-humanizing-birth-care-in,,
32,"Experiences of and responses to disrespectful maternity care and abuse during childbirth; a qualitative study with women and men in Morogoro Region, Tanzania",2014,BMC Pregnancy and Childbirth,Disrespect / abuse / care-seeking,quality-systems,Morogoro,https://pmc.ncbi.nlm.nih.gov/articles/PMC4261577/,8,experiences-of-and-responses-to-disrespectful-maternity-care,,
33,"Lived experiences of maternal near misses: a qualitative study in the Kilimanjaro Region, Tanzania",2025,Open-access,Maternal near-miss / patient experience,quality-systems,Kilimanjaro,https://pmc.ncbi.nlm.nih.gov/articles/PMC12107923/,7,lived-experiences-of-maternal-near-misses-a-qualitative,,
34,How communication can help women who experience a maternal near-miss: a qualitative study from Tanzania,2021,BMJ Open,Maternal near-miss / communication,quality-systems,Mtwara,https://pmc.ncbi.nlm.nih.gov/articles/PMC8562531/,7,how-communication-can-help-women-who-experience-a,,
35,Trends and factors associated with adolescent pregnancies in Tanzania from 2004-2016: Evidence from Tanzania Demographic and Health Surveys,2023,BMC Women's Health,Adolescent pregnancy / DHS,crosscutting,National DHS,https://pmc.ncbi.nlm.nih.gov/articles/PMC10388645/,8,trends-and-factors-associated-with-adolescent-pregnancies-in,,
36,Trends and factors associated with repeated adolescent pregnancies in Tanzania from 2004-2016,2021,BMC Women's Health,Adolescent pregnancy / reproductive health,crosscutting,National DHS,https://pmc.ncbi.nlm.nih.gov/articles/PMC8683454/,7,trends-and-factors-associated-with-repeated-adolescent-pregnancies,,
37,Cause-specific neonatal mortality in a neonatal care unit in Northern Tanzania: a registry based cohort study,2012,BMC Pediatrics,Neonatal mortality / causes,neonatal-perinatal,"KCMC, Northern Tanzania",https://pmc.ncbi.nlm.nih.gov/articles/PMC3469393/,9,cause-specific-neonatal-mortality-in-a-neonatal-care,2,
38,The Contribution of Preterm Birth and Intrauterine Growth Restriction to Infant Mortality in Tanzania,2013,PLOS ONE,Preterm / IUGR / infant mortality,neonatal-perinatal,Dar es Salaam,https://pmc.ncbi.nlm.nih.gov/articles/PMC7893612/,9,the-contribution-of-preterm-birth-and-intrauterine-growth,,
39,Causes of perinatal death at a tertiary care hospital in Northern Tanzania 2000–2010: a registry based study,2012,BMC Pregnancy and Childbirth,Perinatal mortality / stillbirth,neonatal-perinatal,"KCMC, Northern Tanzania",https://pmc.ncbi.nlm.nih.gov/articles/PMC3533832/,9,causes-of-perinatal-death-at-a-tertiary-care,2,
40,"Incidence and determinants of perinatal mortality in five urban hospitals in Dar es Salaam, Tanzania",2023,BMC Pregnancy and Childbirth,Perinatal mortality / stillbirth,neonatal-perinatal,5 Dar es Salaam hospitals,https://pmc.ncbi.nlm.nih.gov/articles/PMC10787400/,9,incidence-and-determinants-of-perinatal-mortality-in-five,2,
41,"Trends in mortality and associated factors among neonates hospitalized at Muhimbili National Hospital, Tanzania: A three-year retrospective study",2024,Open-access,Neonatal mortality / hospital cohort,neonatal-perinatal,"MNH, Dar es Salaam",https://pmc.ncbi.nlm.nih.gov/articles/PMC11548724/,9,trends-in-mortality-and-associated-factors-among-neonates,,
42,"Neonatal mortality and video assessment of resuscitation in four district hospitals in Pemba, Tanzania",2023,BMJ Global Health,Neonatal mortality / resuscitation quality,interventions,Pemba,https://pmc.ncbi.nlm.nih.gov/articles/PMC10899108/,9,neonatal-mortality-and-video-assessment-of-resuscitation-in,,
43,"Risk Factors for Birth Asphyxia in Hospital-Delivered Newborns in Dodoma, Tanzania: A Case-Control Study",2024,Open-access,Birth asphyxia / risk factors,neonatal-perinatal,Dodoma,https://pmc.ncbi.nlm.nih.gov/articles/PMC11044786/,8,risk-factors-for-birth-asphyxia-in-hospital-delivered,,
44,"Identifying factors associated with neonatal resuscitation skills among nurses and midwives in Tanzania, sub-Saharan Africa",2022,BMC Health Services Research,Neonatal resuscitation / workforce,interventions,Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC9136440/,8,identifying-factors-associated-with-neonatal-resuscitation-skills-among,,
45,Improvements in newborn care and newborn resuscitation following a quality improvement program at scale: results from a before and after study in Tanzania,2014,BMC Pregnancy and Childbirth,Newborn care / resuscitation / QI,interventions,52 facilities,https://pmc.ncbi.nlm.nih.gov/articles/PMC4247559/,10,improvements-in-newborn-care-and-newborn-resuscitation-following,4,
46,Impact of Quality Improvement Bundle on Neonatal Mortality in a District Hospital in Tanzania,2022,Children,Neonatal mortality / QI,interventions,"Tosamaganga, Iringa",https://pmc.ncbi.nlm.nih.gov/articles/PMC9324863/,8,impact-of-quality-improvement-bundle-on-neonatal-mortality,4,
47,A multi-year analysis of kangaroo mother care outcomes in low birth weight babies at a Nyakahanga Hospital in rural Tanzania,2020,BMC Pediatrics,Kangaroo mother care / LBW,interventions,Rural Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC7750084/,8,a-multi-year-analysis-of-kangaroo-mother-care,4,
48,Level of Knowledge on Kangaroo Mother Care and Its Associated Factors Among Postnatal Mothers With Preterm Babies in Central Tanzania,2023,SAGE Open Nursing,Kangaroo mother care / maternal knowledge,interventions,"Dodoma, Singida, Tabora",https://pmc.ncbi.nlm.nih.gov/articles/PMC10107378/,6,level-of-knowledge-on-kangaroo-mother-care-and,4,
49,"Effect on neonatal sepsis following immediate kangaroo mother care in a newborn intensive care unit: a post-hoc analysis of a multicentre, open-label, randomised controlled trial",2023,The Lancet / open access,Kangaroo mother care / neonatal sepsis,interventions,Includes Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC10209186/,9,effect-on-neonatal-sepsis-following-immediate-kangaroo-mother,4,
50,Kangaroo mother care: EN-BIRTH multi-country validation study,2021,BMC Pregnancy and Childbirth,KMC / measurement / implementation,interventions,Includes Tanzanian hospitals,https://pmc.ncbi.nlm.nih.gov/articles/PMC7995571/,8,kangaroo-mother-care-en-birth-multi-country-validation,4,
51,Care-Seeking and Management of Common Childhood Illnesses in Tanzania – Results from the 2010 Demographic and Health Survey,2013,PLOS ONE,Child health / care-seeking,child-mortality,National DHS,https://pmc.ncbi.nlm.nih.gov/articles/PMC3595288/,8,care-seeking-and-management-of-common-childhood-illnesses,,
52,Morbidity and mortality of children aged 2–59 months admitted in the Tanzania Lake Zone’s public hospitals,2017,BMC Pediatrics,Under-five hospital mortality,child-mortality,Lake Zone,https://pmc.ncbi.nlm.nih.gov/articles/PMC5634853/,8,morbidity-and-mortality-of-children-aged-2-59,,
53,Post-hospital mortality in children aged 2-12 years in Tanzania: A prospective cohort study,2018,PLOS ONE,Child mortality / post-discharge,child-mortality,Northwestern Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC6091952/,7,post-hospital-mortality-in-children-aged-2-12,,
54,Geographical Variations and Factors Associated with Childhood Diarrhea in Tanzania: A National Population Based Survey 2015–16,2019,BMC Public Health,Child diarrhoea / geography / DHS,child-mortality,National DHS,https://pmc.ncbi.nlm.nih.gov/articles/PMC6689700/,8,geographical-variations-and-factors-associated-with-childhood-diarrhea,,
55,The association between infant and young child feeding practices and diarrhoea in Tanzanian children,2018,International Breastfeeding Journal,Feeding / diarrhoea,crosscutting,Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC5791185/,7,the-association-between-infant-and-young-child-feeding,,
56,"Impact of Malaria Control on Mortality and Anemia among Tanzanian Children Less than Five Years of Age, 1999–2010",2015,PLOS ONE,Malaria / under-five mortality,interventions,National surveys,https://pmc.ncbi.nlm.nih.gov/articles/PMC4633136/,9,impact-of-malaria-control-on-mortality-and-anemia,4,
57,Correct diagnosis of childhood pneumonia in public facilities in Tanzania: a randomised comparison of diagnostic methods,2021,BMJ Open,Child pneumonia / diagnostic quality,quality-systems,Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC8149435/,8,correct-diagnosis-of-childhood-pneumonia-in-public-facilities,,
58,Under-five mortality and maternal HIV status in Tanzania: analysis of trends between 2003 and 2012 using AIDS Indicator Survey data,2016,Global Health Action,HIV / under-five mortality,crosscutting,National surveys,https://pmc.ncbi.nlm.nih.gov/articles/PMC4916291/,8,under-five-mortality-and-maternal-hiv-status-in,,
59,"Effect of neonatal vitamin A supplementation on mortality in infants in Tanzania (Neovita): a randomised, double-blind, placebo-controlled trial",2015,The Lancet,Neonatal supplementation / mortality,interventions,Morogoro + Dar es Salaam,https://pmc.ncbi.nlm.nih.gov/articles/PMC4419827/,9,effect-of-neonatal-vitamin-a-supplementation-on-mortality,4,
60,The impact of paid community health worker deployment on child survival: the connect randomized cluster trial in rural Tanzania,2019,BMC Medicine,Community health workers / child survival,crosscutting,"Kilombero, Rufiji, Ulanga",https://pmc.ncbi.nlm.nih.gov/articles/PMC6636132/,10,the-impact-of-paid-community-health-worker-deployment,4,
61,The Tanzania Connect Project: a cluster-randomized trial of the child survival impact of adding paid community health workers to an existing facility-focused health system,2013,Trials,Community health workers / child survival,crosscutting,3 rural districts,https://pmc.ncbi.nlm.nih.gov/articles/PMC3668255/,8,the-tanzania-connect-project-a-cluster-randomized-trial,4,
62,"The implementation and effectiveness of multi-tasked, paid community health workers on maternal and child health: a cluster-randomized pragmatic trial and qualitative process evaluation in Tanzania",2023,Implementation Science,CHW / MNCH utilization,crosscutting,Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC10508634/,9,the-implementation-and-effectiveness-of-multi-tasked-paid,4,
63,"Profile, knowledge, and work patterns of a cadre of maternal, newborn, and child health CHWs focusing on preventive and promotive services in Morogoro Region, Tanzania",2015,Human Resources for Health,MNCH workforce / CHWs,crosscutting,Morogoro,https://pmc.ncbi.nlm.nih.gov/articles/PMC4690304/,7,profile-knowledge-and-work-patterns-of-a-cadre,,
64,"Can formalizing links among community health workers, accredited drug dispensing outlet dispensers, and health facility staff increase their collaboration to improve prompt access to maternal and child care?",2017,Human Resources for Health,Referral / community-health linkages,crosscutting,Kibaha,https://pmc.ncbi.nlm.nih.gov/articles/PMC5477305/,7,can-formalizing-links-among-community-health-workers-accredited,4,
65,"Exclusive breastfeeding patterns in Tanzania: Do individual, household, or community factors matter?",2020,International Breastfeeding Journal,Breastfeeding / determinants,crosscutting,National,https://pmc.ncbi.nlm.nih.gov/articles/PMC7178598/,7,exclusive-breastfeeding-patterns-in-tanzania-do-individual-household,,
66,Determinants of breastfeeding indicators among children less than 24 months of age in Tanzania: a secondary analysis of the 2010 TDHS,2012,BMC Public Health,Breastfeeding / DHS,crosscutting,National DHS,https://pmc.ncbi.nlm.nih.gov/articles/PMC3549262/,8,determinants-of-breastfeeding-indicators-among-children-less-than,,
67,Barriers and Opportunities for Improved Exclusive Breast-Feeding Practices in Tanzania: Household Trials With Mothers and Fathers,2020,Food and Nutrition Bulletin,Breastfeeding / household intervention,crosscutting,Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC7751330/,7,barriers-and-opportunities-for-improved-exclusive-breast-feeding,,
68,Determinants of underweight among children aged 0–23 months in Tanzania,2022,BMC Public Health,Child nutrition / underweight,crosscutting,Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC9007294/,7,determinants-of-underweight-among-children-aged-0-23,,
69,"Fetal, Neonatal, and Infant Death among Offspring of Pregnant Women Living with HIV in Tanzania",2024,Open-access,HIV / fetal-neonatal-infant mortality,crosscutting,Tanzania cohort,https://pmc.ncbi.nlm.nih.gov/articles/PMC11524766/,8,fetal-neonatal-and-infant-death-among-offspring-of,,
70,Sex differences in the effects of maternal vitamin supplements on mortality and morbidity among children born to HIV-infected women in Tanzania,2011,Journal of Nutrition,Maternal nutrition / child mortality / HIV,crosscutting,Tanzania trial,https://pmc.ncbi.nlm.nih.gov/articles/PMC3099235/,8,sex-differences-in-the-effects-of-maternal-vitamin,,
71,"Perinatal Outcomes, Including Mother-to-Child Transmission of HIV, and Child Mortality and Their Association with Maternal Vitamin D Status in Tanzania",2009,Clinical Infectious Diseases,Maternal nutrition / HIV / child mortality,crosscutting,Tanzania cohort,https://pmc.ncbi.nlm.nih.gov/articles/PMC2758703/,7,perinatal-outcomes-including-mother-to-child-transmission-of,,
73,Counting Missing Babies in Tanzania,2026,PLOS One,Neonatal mortality / routine data quality,quality-systems,28 RRH + 7 tertiary hospitals,https://doi.org/10.1371/journal.pone.0348874,10,missing-babies,3,yes
74,Quality of Maternal & Child Health Services in Tanzania,2025,Reproductive Health (BMC),MCH quality / star rating,quality-systems,"2,583 facilities, 10 regions",https://doi.org/10.1186/s12978-025-02105-y,9,mch-star-rating,,yes
